
10,44360,682120,ns
20,74000,390420,ns
30,114780,397600,ns
40,141160,371340,ns
50,199780,403480,ns
60,302260,540920,ns
70,262600,432620,ns
80,300280,438260,ns
90,390000,499160,ns
100,425400,455280,ns
110,414140,466720,ns
120,497380,510500,ns
130,557260,475780,ns
140,606100,462660,ns
150,571820,532300,ns
160,630640,555560,ns
170,851840,626660,ns
180,842600,513280,ns
190,864540,657220,ns
200,890540,506940,ns
210,826480,536040,ns
220,858720,541600,ns
230,1051380,554240,ns
240,1072540,623380,ns
250,977720,624340,ns
260,1735980,811780,ns
270,1664760,871760,ns
280,1601040,814420,ns
290,1874820,760760,ns
300,1183120,587180,ns
310,1230820,591380,ns
320,1196180,561900,ns
330,1221900,571020,ns
340,1289860,569900,ns
350,1294340,569820,ns
360,1351460,561580,ns
370,1408400,585140,ns
380,1577940,621140,ns
390,1964160,639280,ns
400,1582120,609280,ns
410,1544820,603940,ns
420,1564980,597220,ns
430,1632800,632320,ns
440,1688440,614540,ns
450,1703540,621840,ns
460,1729800,627680,ns
470,2359520,742200,ns
480,1916740,665720,ns
490,2002660,760480,ns
500,2019580,846140,ns
510,2061280,689420,ns
520,2420480,716120,ns
530,2196500,809900,ns
540,2179200,770900,ns
550,2825980,716800,ns
560,2232700,729660,ns
570,2674200,792580,ns
580,4051820,1203080,ns
590,3442260,1171500,ns
600,3123660,864280,ns
610,3090360,839560,ns
620,2978960,857840,ns
630,2753140,936420,ns
640,3703660,901940,ns
650,3217640,880320,ns
660,2786400,1026340,ns
670,2815880,894320,ns
680,2635300,758060,ns
690,2596620,760180,ns
700,3641700,963000,ns
710,2689420,756800,ns
720,2698380,763940,ns
730,2738640,790760,ns
740,3021260,775000,ns
750,2842620,781020,ns
760,2921740,797460,ns
770,2892740,778140,ns
780,3016300,919540,ns
790,2972380,786040,ns
800,3076080,836800,ns
810,3131080,800940,ns
820,3636140,804240,ns
830,3134580,834900,ns
840,3183060,831340,ns
850,3238660,819540,ns
860,3363740,854320,ns
870,3320320,828980,ns
880,3358440,839880,ns
890,3860900,856120,ns
900,3440380,891740,ns
910,3458660,862200,ns
920,3512160,838740,ns
930,3646620,870620,ns
940,3674220,865820,ns
950,3678300,938860,ns
960,3777980,907060,ns
970,3838940,917360,ns
980,3824800,873480,ns
990,3871500,902400,ns
1000,3886120,1139880,ns
