
0,10,576800,ns
1,10,594200,ns
2,10,1272600,ns
3,10,486400,ns
4,10,480600,ns
0,20,396900,ns
1,20,376400,ns
2,20,429400,ns
3,20,386900,ns
4,20,362500,ns
0,30,397100,ns
1,30,375200,ns
2,30,380000,ns
3,30,366000,ns
4,30,469700,ns
0,40,366200,ns
1,40,362100,ns
2,40,382500,ns
3,40,358200,ns
4,40,387700,ns
0,50,389200,ns
1,50,377900,ns
2,50,369900,ns
3,50,430400,ns
4,50,450000,ns
0,60,416600,ns
1,60,448600,ns
2,60,665600,ns
3,60,771400,ns
4,60,402400,ns
0,70,443000,ns
1,70,442500,ns
2,70,444300,ns
3,70,415700,ns
4,70,417600,ns
0,80,443200,ns
1,80,433600,ns
2,80,421000,ns
3,80,478500,ns
4,80,415000,ns
0,90,439300,ns
1,90,466300,ns
2,90,441400,ns
3,90,649900,ns
4,90,498900,ns
0,100,506500,ns
1,100,458300,ns
2,100,445000,ns
3,100,437800,ns
4,100,428800,ns
0,110,449000,ns
1,110,452800,ns
2,110,468100,ns
3,110,454300,ns
4,110,509400,ns
0,120,632900,ns
1,120,465200,ns
2,120,550900,ns
3,120,445800,ns
4,120,457700,ns
0,130,465800,ns
1,130,462100,ns
2,130,483400,ns
3,130,483100,ns
4,130,484500,ns
0,140,453000,ns
1,140,453400,ns
2,140,472100,ns
3,140,448900,ns
4,140,485900,ns
0,150,501900,ns
1,150,498000,ns
2,150,480700,ns
3,150,701100,ns
4,150,479800,ns
0,160,489200,ns
1,160,472400,ns
2,160,492800,ns
3,160,514200,ns
4,160,809200,ns
0,170,699100,ns
1,170,505000,ns
2,170,485700,ns
3,170,509600,ns
4,170,933900,ns
0,180,531200,ns
1,180,506400,ns
2,180,511300,ns
3,180,499300,ns
4,180,518200,ns
0,190,519400,ns
1,190,512600,ns
2,190,513100,ns
3,190,898700,ns
4,190,842300,ns
0,200,511000,ns
1,200,503400,ns
2,200,490300,ns
3,200,511500,ns
4,200,518500,ns
0,210,544600,ns
1,210,529800,ns
2,210,532600,ns
3,210,528600,ns
4,210,544600,ns
0,220,577300,ns
1,220,539200,ns
2,220,527500,ns
3,220,547100,ns
4,220,516900,ns
0,230,577900,ns
1,230,543100,ns
2,230,549800,ns
3,230,555800,ns
4,230,544600,ns
0,240,546400,ns
1,240,848300,ns
2,240,607500,ns
3,240,560700,ns
4,240,554000,ns
0,250,866000,ns
1,250,577800,ns
2,250,551000,ns
3,250,596800,ns
4,250,530100,ns
0,260,911300,ns
1,260,548600,ns
2,260,765300,ns
3,260,871300,ns
4,260,962400,ns
0,270,917900,ns
1,270,807600,ns
2,270,852000,ns
3,270,891800,ns
4,270,889500,ns
0,280,949900,ns
1,280,850700,ns
2,280,816100,ns
3,280,569700,ns
4,280,885700,ns
0,290,917100,ns
1,290,560300,ns
2,290,808600,ns
3,290,970600,ns
4,290,547200,ns
0,300,602400,ns
1,300,557200,ns
2,300,588500,ns
3,300,610900,ns
4,300,576900,ns
0,310,590300,ns
1,310,576800,ns
2,310,620500,ns
3,310,609200,ns
4,310,560100,ns
0,320,618500,ns
1,320,540100,ns
2,320,536300,ns
3,320,557800,ns
4,320,556800,ns
0,330,549300,ns
1,330,535600,ns
2,330,550100,ns
3,330,694400,ns
4,330,525700,ns
0,340,562700,ns
1,340,575900,ns
2,340,589800,ns
3,340,570600,ns
4,340,550500,ns
0,350,562100,ns
1,350,558700,ns
2,350,583300,ns
3,350,563700,ns
4,350,581300,ns
0,360,579500,ns
1,360,568200,ns
2,360,537500,ns
3,360,548500,ns
4,360,574200,ns
0,370,598400,ns
1,370,574600,ns
2,370,618200,ns
3,370,557400,ns
4,370,577100,ns
0,380,675200,ns
1,380,599800,ns
2,380,611900,ns
3,380,613600,ns
4,380,605200,ns
0,390,664100,ns
1,390,612400,ns
2,390,637300,ns
3,390,674100,ns
4,390,608500,ns
0,400,687500,ns
1,400,620100,ns
2,400,575500,ns
3,400,575200,ns
4,400,588100,ns
0,410,573400,ns
1,410,634600,ns
2,410,603400,ns
3,410,595400,ns
4,410,612900,ns
0,420,601100,ns
1,420,589800,ns
2,420,607100,ns
3,420,588700,ns
4,420,599400,ns
0,430,647900,ns
1,430,585300,ns
2,430,593400,ns
3,430,696800,ns
4,430,638200,ns
0,440,582500,ns
1,440,590200,ns
2,440,598300,ns
3,440,626400,ns
4,440,675300,ns
0,450,623300,ns
1,450,658300,ns
2,450,608200,ns
3,450,606900,ns
4,450,612500,ns
0,460,606100,ns
1,460,611600,ns
2,460,642600,ns
3,460,636500,ns
4,460,641600,ns
0,470,648100,ns
1,470,619500,ns
