2,3705900,281120,ns
3,3738200,251540,ns
4,3972720,255140,ns
5,3849480,430800,ns
6,4021420,264380,ns
7,3992580,259240,ns
8,4041320,265380,ns
9,4108580,283340,ns
10,4087880,271340,ns
11,4219540,328300,ns
12,4198560,276420,ns
13,4434580,279420,ns
14,4461420,294520,ns
15,4573920,298620,ns
16,4901560,299240,ns
17,4687500,311940,ns
18,4681940,308220,ns
19,4688580,309660,ns
20,4894600,346120,ns
21,4784740,315500,ns
22,4763180,331680,ns
23,4789280,314620,ns
24,4874100,321480,ns
25,4882120,337880,ns
26,4940860,324580,ns
27,5101480,321440,ns
28,5115080,331800,ns
29,5550080,336760,ns
30,5143860,337640,ns
31,5277460,340100,ns
32,5570240,374960,ns
33,5681200,358880,ns
34,5649140,361420,ns
35,6060060,382640,ns
36,5784580,380580,ns
37,5929060,380640,ns
38,6163620,424840,ns
39,6093620,390600,ns
40,6200880,386480,ns
41,6260440,393640,ns
42,6303800,460620,ns
43,6224160,393980,ns
44,6228840,393640,ns
45,6287020,400020,ns
46,6813260,406580,ns
47,6506700,411720,ns
48,6536700,417540,ns
49,6612200,416800,ns
50,6569920,469300,ns
51,6619440,420580,ns
52,7055420,460760,ns
53,6778860,444940,ns
54,7100160,427980,ns
55,7020960,425820,ns
56,6928780,447420,ns
57,7013260,433920,ns
58,7205680,441840,ns
59,7051320,439280,ns
60,7050260,442520,ns
61,7412760,473720,ns
62,7437900,444280,ns
63,7220860,447820,ns
64,7264160,462760,ns
65,7368540,539540,ns
66,7422880,463880,ns
67,7530420,488680,ns
68,7524480,475200,ns
69,7825260,489280,ns
70,7554940,472000,ns
71,7585440,475080,ns
72,7812900,487540,ns
73,7788160,489220,ns
74,7842920,484880,ns
75,7855100,491700,ns
76,7893260,489420,ns
77,7895120,487760,ns
78,8016400,494020,ns
79,8134200,511160,ns
80,8300000,514360,ns
81,8232720,509040,ns
82,8390700,510260,ns
83,8469560,515780,ns
84,8309980,519520,ns
85,8390760,518680,ns
86,8431640,535900,ns
87,8988420,534240,ns
88,8531960,531480,ns
89,8578120,542060,ns
90,8793520,537240,ns
91,8581720,528960,ns
92,8729580,540760,ns
93,8845040,557820,ns
94,8858100,544100,ns
95,9029960,559120,ns
96,8808620,546000,ns
97,9155560,555500,ns
98,8996400,551980,ns
99,8931940,548980,ns
100,10205260,578960,ns
101,9003200,551140,ns
102,9097820,562900,ns
103,9426320,628400,ns
104,9579820,573980,ns
105,9471680,579000,ns
106,9404560,581700,ns
107,10041900,597940,ns
108,9576760,583880,ns
109,9553560,581720,ns
110,9795520,599980,ns
111,9941880,589580,ns
112,9686820,608620,ns
113,9920280,601920,ns
114,9829360,601940,ns
115,9806960,615640,ns
116,10104660,598540,ns
117,9944060,621600,ns
118,10122540,638000,ns
119,10193160,674740,ns
120,10154360,685000,ns
121,10189280,621720,ns
122,10985420,638960,ns
123,10343540,626460,ns
124,10272600,627200,ns
125,10401940,632560,ns
126,10495740,635500,ns
127,10688020,642040,ns
128,10483380,668200,ns
129,10693760,667840,ns
130,10860380,655320,ns
131,10920220,672620,ns
132,10862500,654120,ns
133,10905960,651240,ns
134,11000180,727380,ns
135,11319480,664480,ns
136,10829920,689520,ns
137,11065620,665480,ns
138,10940260,661660,ns
139,11151320,668620,ns
140,11169560,676580,ns
141,11164780,692140,ns
142,11448080,683560,ns
143,11455460,686420,ns
144,11510420,683300,ns
145,11423060,687720,ns
146,11510200,694400,ns
147,11597880,702760,ns
148,11398360,688180,ns
149,11581420,698220,ns
150,12320560,721320,ns
151,11707980,699960,ns
152,11630900,704980,ns
153,12253300,719960,ns
154,11968140,729340,ns
155,11815400,706060,ns
156,12156940,717040,ns
157,13618760,746840,ns
158,11898580,713820,ns
159,12266900,726580,ns
160,12242800,768200,ns
161,12261100,732580,ns
162,12219380,826840,ns
163,12049640,722240,ns
164,12822680,733180,ns
165,12604400,792100,ns
166,12474220,757720,ns
167,12372940,740320,ns
168,12811960,765980,ns
169,12884280,845500,ns
170,12845660,756040,ns
171,12795400,756660,ns
172,12844100,765640,ns
